"Id","DisplayName","UserPrincipalName","Mail","AccountEnabled","CreatedDateTime","UserType","OnPremisesSyncEnabled","JobTitle","Department","AssignedLicenses","LicenseCount","DirectoryRoles","GroupMemberships","ManagerName","ManagerUserPrincipalName","IsMfaRegistered","IsSsprRegistered","IsSsprEnabled","IsSsprCapable","IsMfaCapable"
"fe98bfe4-8c6b-46c6-9f09-cb136034eefb","Lee Gu","LeeG@mycloudofficedev.onmicrosoft.com","LeeG@mycloudofficedev.onmicrosoft.com","True","06/18/2024 09:52:01","Member","False","Director","Manufacturing","DEVELOPERPACK_E5","1","","mycloudofficedev","Patti Fernandez","PattiF@mycloudofficedev.onmicrosoft.com","False","True","True","True","False"
"aba06a13-aff3-492c-8b49-3be9f1a8e5e5","Lidia Holloway","LidiaH@mycloudofficedev.onmicrosoft.com","LidiaH@mycloudofficedev.onmicrosoft.com","True","06/18/2024 09:52:13","Member","False","Product Manager","Engineering","DEVELOPERPACK_E5","1","","mycloudofficedev","Lee Gu","LeeG@mycloudofficedev.onmicrosoft.com","False","True","True","True","False"
"f4a93596-ec03-4f05-8864-9c4727f51ac8","Lynne Robbins","LynneR@mycloudofficedev.onmicrosoft.com","LynneR@mycloudofficedev.onmicrosoft.com","True","06/18/2024 09:52:14","Member","False","Planner","Retail","DEVELOPERPACK_E5","1","","mycloudofficedev","Miriam Graham","MiriamG@mycloudofficedev.onmicrosoft.com","False","True","True","True","False"
"79560338-79c1-44ee-85dc-e5dae7dede13","Megan Bowen","MeganB@mycloudofficedev.onmicrosoft.com","MeganB@mycloudofficedev.onmicrosoft.com","True","06/18/2024 09:52:15","Member","False","Marketing Manager","Marketing","DEVELOPERPACK_E5","1","","mycloudofficedev","Miriam Graham","MiriamG@mycloudofficedev.onmicrosoft.com","False","True","True","True","False"
"dc13d7ab-7409-4fad-8b34-201281cb5424","Miriam Graham","MiriamG@mycloudofficedev.onmicrosoft.com","MiriamG@mycloudofficedev.onmicrosoft.com","True","06/18/2024 09:52:03","Member","False","Director","Sales & Marketing","DEVELOPERPACK_E5","1","","mycloudofficedev","Patti Fernandez","PattiF@mycloudofficedev.onmicrosoft.com","False","True","True","True","False"
"a5c9abb2-5c70-4373-b17a-c38f5e0cc19a","Michael Kirst-Neshva","mkn@mycloudofficedev.onmicrosoft.com","mkn@mycloudofficedev.onmicrosoft.com","True","08/03/2020 14:54:14","Member","False",,,"SharePoint_advanced_management_plan_1; Microsoft_Entra_Suite; MDATP_XPLAT; FLOW_FREE; CCIBOTS_PRIVPREV_VIRAL; DEVELOPERPACK_E5","6","Security Administrator; Purview Workload Content Administrator; Tenant Creator; Azure AD Joined Device Local Administrator; Authentication Administrator; Global Administrator; Authentication Policy Administrator; Compliance Administrator; Cloud Device Administrator; Azure Information Protection Administrator","DemoWebsite02; Demo-GSA-M365_ClientAccess; Excluded from Conditional Access; DemoWebsite; mycloudofficedev; ComplianceShield - Demo - Webarchive; Opal-UserGroup; SG - AutoPilot V2 User; MyCloudOfficeDEV GOV02","","","True","True","True","True","True"
"044dc5c5-c9ce-4fc0-975d-f4740f692b41","Nestor Wilke","NestorW@mycloudofficedev.onmicrosoft.com","NestorW@mycloudofficedev.onmicrosoft.com","True","06/18/2024 09:52:04","Member","False","Director","Operations","DEVELOPERPACK_E5","1","","mycloudofficedev","Patti Fernandez","PattiF@mycloudofficedev.onmicrosoft.com","False","True","True","True","False"
"42bfa07c-443a-4bd4-aa82-bb326b10677f","Patti Fernandez","PattiF@mycloudofficedev.onmicrosoft.com","PattiF@mycloudofficedev.onmicrosoft.com","True","06/18/2024 09:52:00","Member","False","President","Executive Management","DEVELOPERPACK_E5","1","","mycloudofficedev","","","False","True","True","True","False"
"8b00d4a1-d601-4b78-bf11-965ceeb9b894","Pradeep Gupta","PradeepG@mycloudofficedev.onmicrosoft.com","PradeepG@mycloudofficedev.onmicrosoft.com","True","06/18/2024 09:52:16","Member","False","Accountant","Finance","DEVELOPERPACK_E5","1","","mycloudofficedev","Nestor Wilke","NestorW@mycloudofficedev.onmicrosoft.com","False","True","True","True","False"
"3d8d0850-6069-4290-bf95-9516a52a1ba1","TestMailbox","TestMailbox@mycloudofficedev.onmicrosoft.com","TestMailbox@mycloudofficedev.onmicrosoft.com","True","06/21/2024 09:56:20","Member","False",,,"","0","","","","","False","False","True","False","False"
